City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Hilo,US,73.13,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
3,Bethel,US,84.38,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
5,Esperance,AU,58.84,light rain,-33.8667,121.9,Hospitality Esperance
7,Busselton,AU,59.09,light rain,-33.65,115.3333,Observatory Guest House
8,Granville,AU,54.3,broken clouds,-33.8333,151.0167,Mercure Sydney Parramatta
9,Vaini,TO,66.36,few clouds,-21.2,-175.2,Keleti Beach Resort
10,Northam,GB,63.39,broken clouds,51.0333,-4.2167,Durrant House Hotel
11,East London,ZA,63.54,few clouds,-33.0153,27.9116,Tu Casa
12,Flinders,AU,54.21,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
14,Klaksvik,FO,67.12,overcast clouds,62.2266,-6.589,Airbnb rooms
15,Vestmanna,FO,65.32,overcast clouds,62.1564,-7.1664,Budget Guesthouse Borgustova
16,Nanzhang,CN,76.77,light rain,31.7765,111.8386,Longmenkezhan
17,Port Alfred,ZA,61.52,broken clouds,-33.5906,26.891,The Halyards Hotel
18,Urrao,CO,72.39,broken clouds,6.3152,-76.1342,Finca Hotel Riomanso
19,Vila Velha,BR,69.75,mist,-20.3297,-40.2925,Quality Suites Vila Velha
20,Rikitea,PF,73.83,clear sky,-23.1203,-134.9692,People ThankYou
23,Jamestown,US,81.3,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
25,Coquimbo,CL,58.73,broken clouds,-29.9533,-71.3436,Punto de encuentro
27,Cape Town,ZA,59.11,overcast clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
28,Atuona,PF,77.47,light rain,-9.8,-139.0333,Villa Enata
29,Vao,NC,67.42,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
30,Santa Fe,AR,80.74,clear sky,-31.6333,-60.7,Conquistador Hotel
32,Kruisfontein,ZA,59.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
35,Saint-Remi,CA,82.38,broken clouds,45.2668,-73.6159,Golden Triangle Golf Course
36,Bredasdorp,ZA,56.52,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
