City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,29.86,86,75,17.27,light snow
1,Coihaique,CL,-45.5752,-72.0662,43.41,75,75,4.61,light rain
2,Hilo,US,19.7297,-155.09,73.13,90,90,5.75,light rain
3,Bethel,US,41.3712,-73.414,84.38,71,1,10.36,clear sky
4,Adrar,MR,20.5022,-10.0711,104.49,18,3,13.6,clear sky
5,Esperance,AU,-33.8667,121.9,58.84,83,100,18.39,light rain
6,Zyryanka,RU,65.75,150.85,46.04,90,23,8.14,few clouds
7,Busselton,AU,-33.65,115.3333,59.09,92,100,14.94,light rain
8,Granville,AU,-33.8333,151.0167,54.3,71,75,1.01,broken clouds
9,Vaini,TO,-21.2,-175.2,66.36,82,20,6.91,few clouds
10,Northam,GB,51.0333,-4.2167,63.39,88,62,23.06,broken clouds
11,East London,ZA,-33.0153,27.9116,63.54,77,20,9.22,few clouds
12,Flinders,AU,-34.5833,150.8552,54.21,75,98,1.01,overcast clouds
13,Cherskiy,RU,68.75,161.3,48.88,59,100,5.5,overcast clouds
14,Klaksvik,FO,62.2266,-6.589,67.12,88,100,21.05,overcast clouds
15,Vestmanna,FO,62.1564,-7.1664,65.32,52,100,18.41,overcast clouds
16,Nanzhang,CN,31.7765,111.8386,76.77,68,73,4.12,light rain
17,Port Alfred,ZA,-33.5906,26.891,61.52,78,63,13.8,broken clouds
18,Urrao,CO,6.3152,-76.1342,72.39,73,53,0.83,broken clouds
19,Vila Velha,BR,-20.3297,-40.2925,69.75,83,90,9.22,mist
20,Rikitea,PF,-23.1203,-134.9692,73.83,80,4,9.08,clear sky
21,Mataura,NZ,-46.1927,168.8643,34.48,98,100,1.36,overcast clouds
22,Clyde River,CA,70.4692,-68.5914,39.43,100,90,12.66,mist
23,Jamestown,US,42.097,-79.2353,81.3,66,1,3.0,clear sky
24,Albany,US,42.6001,-73.9662,84.15,70,100,2.62,overcast clouds
25,Coquimbo,CL,-29.9533,-71.3436,58.73,62,75,3.44,broken clouds
26,Dehloran,IR,32.6941,47.2679,106.27,11,6,10.65,clear sky
27,Cape Town,ZA,-33.9258,18.4232,59.11,83,100,3.0,overcast clouds
28,Atuona,PF,-9.8,-139.0333,77.47,80,92,18.28,light rain
29,Vao,NC,-22.6667,167.4833,67.42,61,100,7.43,overcast clouds
30,Santa Fe,AR,-31.6333,-60.7,80.74,48,0,1.99,clear sky
31,Avera,US,33.194,-82.5271,81.72,65,98,3.24,overcast clouds
32,Kruisfontein,ZA,-34.0033,24.7314,59.88,82,100,6.55,overcast clouds
33,San Patricio,US,28.017,-97.5169,89.46,54,7,11.34,clear sky
34,Punta Arenas,CL,-53.15,-70.9167,33.91,93,40,28.77,light shower snow
35,Saint-Remi,CA,45.2668,-73.6159,82.38,63,72,3.0,broken clouds
36,Bredasdorp,ZA,-34.5322,20.0403,56.52,82,100,4.61,overcast clouds
37,La Asuncion,VE,11.0333,-63.8628,94.73,52,12,9.22,few clouds
38,Ambilobe,MG,-13.2,49.05,71.92,78,56,3.76,light rain
39,Fomboni,KM,-12.28,43.7425,77.13,66,0,10.25,clear sky
40,Urumqi,CN,43.801,87.6005,77.95,29,0,4.47,clear sky
41,Fortuna,US,40.5982,-124.1573,60.93,70,75,0.0,broken clouds
42,Tiarei,PF,-17.5333,-149.3333,71.62,76,21,6.46,few clouds
43,Port Hardy,CA,50.6996,-127.4199,57.38,100,75,0.0,light rain
44,Berlevag,NO,70.8578,29.0864,62.6,62,38,6.85,scattered clouds
45,Saint-Paul,RE,-21.0096,55.2707,69.91,74,38,4.68,light rain
46,Lahij,YE,13.1667,44.5833,88.02,47,15,5.28,few clouds
47,Hermanus,ZA,-34.4187,19.2345,58.89,77,100,2.66,overcast clouds
48,Saint-Pierre,RE,-21.3393,55.4781,69.48,74,40,3.44,scattered clouds
49,Kargasok,RU,59.0556,80.8572,63.86,90,92,6.02,light rain
50,Pevek,RU,69.7008,170.3133,39.58,85,37,6.08,scattered clouds
51,Cairns,AU,-16.9167,145.7667,67.1,91,40,11.5,scattered clouds
52,Carnarvon,AU,-24.8667,113.6333,66.27,90,90,8.05,light rain
53,Grindavik,IS,63.8424,-22.4338,57.67,77,75,3.44,broken clouds
54,Cortez,US,37.3489,-108.5859,76.03,34,90,5.75,haze
55,San Cristobal,VE,7.7669,-72.225,80.78,43,62,6.49,broken clouds
56,Jalu,LY,29.0331,21.5482,105.37,12,0,17.9,clear sky
57,Barrow,US,71.2906,-156.7887,35.62,81,90,6.91,haze
58,Sinfra,CI,6.6167,-5.9167,87.17,35,49,4.25,scattered clouds
59,Kapaa,US,22.0752,-159.319,79.12,76,75,1.99,broken clouds
60,Emirdag,TR,39.0197,31.15,79.14,59,97,20.65,overcast clouds
61,Matara,LK,5.9485,80.5353,78.58,86,100,14.63,overcast clouds
62,Waipawa,NZ,-41.4122,175.5153,50.04,93,76,5.91,broken clouds
63,Avarua,CK,-21.2078,-159.775,73.45,83,20,4.61,few clouds
64,Iqaluit,CA,63.7506,-68.5145,46.13,81,90,18.41,light rain
65,Vardo,NO,70.3705,31.1107,58.05,71,17,10.04,few clouds
66,Comodoro Rivadavia,AR,-45.8667,-67.5,48.06,40,0,33.38,clear sky
67,Tasiilaq,GL,65.6145,-37.6368,48.36,93,99,5.61,light rain
68,Tiksi,RU,71.6872,128.8694,46.35,80,100,4.38,overcast clouds
69,Saskylakh,RU,71.9167,114.0833,46.72,84,19,7.87,few clouds
70,Mar Del Plata,AR,-38.0023,-57.5575,57.22,100,75,12.66,broken clouds
71,Oranjemund,NA,-28.55,16.4333,62.29,57,21,5.7,few clouds
72,Khatanga,RU,71.9667,102.5,51.03,71,9,6.78,clear sky
73,Paamiut,GL,61.994,-49.6678,42.35,95,100,7.67,moderate rain
74,Dunda,TZ,-8.1167,34.25,73.94,39,13,10.38,few clouds
75,Weligama,LK,5.9667,80.4167,78.57,86,100,14.63,overcast clouds
76,Luderitz,NA,-26.6481,15.1594,64.44,50,3,0.92,clear sky
77,Tuatapere,NZ,-46.1333,167.6833,34.83,94,100,1.61,overcast clouds
78,Severo-Kurilsk,RU,50.6789,156.125,53.2,86,97,14.12,overcast clouds
79,Sobolevo,RU,54.4299,31.8996,66.79,68,100,9.22,overcast clouds
80,Georgetown,MY,5.4112,100.3354,84.88,81,20,0.0,few clouds
81,Castro,BR,-24.7911,-50.0119,64.98,63,98,7.85,overcast clouds
82,Kholtoson,RU,50.2981,103.3097,51.1,92,93,3.65,overcast clouds
83,Ilo,PE,-17.6394,-71.3375,59.86,77,90,4.61,overcast clouds
84,Balkanabat,TM,39.5108,54.3671,101.07,12,0,7.78,clear sky
85,Dikson,RU,73.5069,80.5464,49.64,70,13,9.71,few clouds
86,Tuktoyaktuk,CA,69.4541,-133.0374,42.8,87,90,9.22,overcast clouds
87,Hasaki,JP,35.7333,140.8333,79.2,88,100,11.07,moderate rain
88,West Wendover,US,40.7391,-114.0733,65.41,42,1,9.22,clear sky
89,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,60,40,12.66,scattered clouds
90,Sheopur,IN,25.6667,76.7,82.13,83,100,2.44,moderate rain
91,Salyan,AZ,39.5936,48.9805,84.87,50,0,11.59,clear sky
92,Dubbo,AU,-32.25,148.6167,50.13,71,90,5.75,overcast clouds
93,Kodinar,IN,20.7903,70.7031,81.03,81,67,7.36,broken clouds
94,Vila,PT,42.0304,-8.1588,65.7,58,31,8.84,scattered clouds
95,Bima,ID,-8.4667,118.7167,74.23,91,57,3.24,broken clouds
96,San Jeronimo,PE,-11.9472,-75.2829,58.98,32,0,1.59,clear sky
97,Lavrentiya,RU,65.5833,-171.0,42.66,86,100,14.58,overcast clouds
98,Ponta Do Sol,PT,32.6667,-17.1,79.12,80,56,4.92,broken clouds
99,Yellowknife,CA,62.456,-114.3525,64.92,72,75,16.11,light rain
100,Husavik,IS,66.0449,-17.3389,58.91,66,77,8.03,broken clouds
101,Victoria,HK,22.2855,114.1577,84.18,88,100,1.01,overcast clouds
102,Hithadhoo,MV,-0.6,73.0833,82.44,67,100,4.47,moderate rain
103,El Salto,MX,20.3333,-104.5,69.39,85,93,2.1,overcast clouds
104,Gizo,SB,-8.103,156.8419,81.05,72,100,7.87,overcast clouds
105,Albina,SR,5.5,-54.05,83.95,73,70,2.82,broken clouds
106,Lukulu,ZM,-14.3707,23.242,79.25,11,0,5.19,clear sky
107,Podgornaya,RU,44.2031,43.4297,90.45,45,66,17.9,broken clouds
108,Ahipara,NZ,-35.1667,173.1667,52.95,86,36,7.61,scattered clouds
109,Tambun,ID,-6.2641,107.0712,82.44,78,2,5.75,clear sky
110,Nikolskoye,RU,59.7035,30.7861,62.49,99,100,7.76,light rain
111,Cascais,PT,38.6979,-9.4215,78.66,52,20,11.01,few clouds
112,Rafai,CF,4.95,23.9167,71.42,96,100,3.53,moderate rain
113,Raudeberg,NO,61.9875,5.1352,73.18,70,100,3.44,overcast clouds
