City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2021-08-06 21:37:53,-46.1927,168.8643,39.47,95,100,8.28
1,Norman Wells,CA,2021-08-06 21:37:53,65.282,-126.8329,55.44,94,90,11.5
2,Henties Bay,NA,2021-08-06 21:37:54,-22.116,14.2845,54.86,82,2,8.08
3,Sitka,US,2021-08-06 21:33:09,57.0531,-135.33,60.69,77,90,14.97
4,Nome,US,2021-08-06 21:33:15,64.5011,-165.4064,53.17,93,90,9.22
5,Yellowknife,CA,2021-08-06 21:37:54,62.456,-114.3525,73.92,40,75,9.22
6,Hobart,AU,2021-08-06 21:37:55,-42.8794,147.3294,52.05,71,75,5.01
7,Torbay,CA,2021-08-06 21:35:32,47.6666,-52.7314,77.77,75,20,21.85
8,Vao,NC,2021-08-06 21:37:55,-22.6667,167.4833,67.69,61,66,12.1
9,Port Alfred,ZA,2021-08-06 21:37:56,-33.5906,26.891,57.7,80,31,4.47
10,Kuryk,KZ,2021-08-06 21:37:56,43.2,51.65,87.71,35,0,10.38
11,Provideniya,RU,2021-08-06 21:37:56,64.3833,-173.3,48.24,83,100,0.51
12,Ushuaia,AR,2021-08-06 21:34:50,-54.8,-68.3,37.06,56,40,23.02
13,Lobito,AO,2021-08-06 21:37:57,-12.3481,13.5456,71.01,87,0,7.4
14,Pasni,PK,2021-08-06 21:37:57,25.2631,63.471,79.84,89,11,9.75
15,Longyearbyen,SJ,2021-08-06 21:37:58,78.2186,15.6401,46.24,61,75,6.91
16,Sao Gabriel Da Cachoeira,BR,2021-08-06 21:37:58,-0.1303,-67.0892,76.48,81,96,1.07
17,Albany,US,2021-08-06 21:37:58,42.6001,-73.9662,87.76,52,7,2.73
18,Xichang,CN,2021-08-06 21:37:58,27.8964,102.2634,69.21,81,98,1.68
19,Kitami,JP,2021-08-06 21:37:59,43.8031,143.8908,77.13,80,4,4.68
20,Houma,US,2021-08-06 21:34:35,29.5958,-90.7195,91.99,52,40,0.0
21,Avarua,CK,2021-08-06 21:37:59,-21.2078,-159.775,78.85,73,40,6.91
22,Bluff,NZ,2021-08-06 21:37:59,-46.6,168.3333,39.79,69,100,22.55
23,Kropotkin,RU,2021-08-06 21:38:00,45.4375,40.5756,82.42,46,97,15.7
24,Nuqui,CO,2021-08-06 21:38:00,5.7125,-77.2708,80.55,83,52,8.68
25,Wuan,CN,2021-08-06 21:38:01,31.6836,112.0044,78.53,76,81,5.84
26,Suez,EG,2021-08-06 21:38:01,29.9737,32.5263,84.29,48,0,8.05
27,Kavaratti,IN,2021-08-06 21:38:01,10.5669,72.642,82.09,79,89,22.5
28,Rikitea,PF,2021-08-06 21:38:02,-23.1203,-134.9692,74.57,75,15,13.69
29,Kailahun,SL,2021-08-06 21:38:02,8.2833,-10.5667,68.58,98,93,2.08
30,Flinders,AU,2021-08-06 21:38:03,-34.5833,150.8552,51.06,71,9,9.4
31,Margate,GB,2021-08-06 21:38:03,51.3813,1.3862,61.03,80,6,3.0
32,Almazar,UZ,2021-08-06 21:38:03,40.3217,69.0106,76.71,27,26,8.14
33,Oistins,BB,2021-08-06 21:38:04,13.0667,-59.5333,84.29,70,40,14.97
34,Fairbanks,US,2021-08-06 21:33:14,64.8378,-147.7164,67.1,87,90,3.0
35,Surt,LY,2021-08-06 21:38:04,31.2089,16.5887,83.66,68,0,8.68
36,Nurota,UZ,2021-08-06 21:38:05,40.5614,65.6886,73.49,22,1,3.06
37,Bocaiuva,BR,2021-08-06 21:38:05,-17.1078,-43.815,71.31,54,100,8.66
38,Hilo,US,2021-08-06 21:38:05,19.7297,-155.09,82.13,65,90,6.91
39,Hovd,MN,2021-08-06 21:38:05,48.0056,91.6419,56.75,67,90,1.57
40,Coquimbo,CL,2021-08-06 21:38:06,-29.9533,-71.3436,55.13,82,90,6.91
41,Jamestown,US,2021-08-06 21:37:45,42.097,-79.2353,83.52,61,40,11.5
42,Whitehorse,CA,2021-08-06 21:38:06,60.7161,-135.0538,55.09,93,90,5.01
43,San Jeronimito,MX,2021-08-06 21:38:06,17.55,-101.3333,91.24,58,75,9.22
44,Port Blair,IN,2021-08-06 21:38:07,11.6667,92.75,81.84,82,99,19.37
45,Dakar,SN,2021-08-06 21:34:03,14.6937,-17.4441,82.53,78,40,9.22
46,Faanui,PF,2021-08-06 21:38:07,-16.4833,-151.75,78.94,70,14,9.86
47,Castro,BR,2021-08-06 21:38:08,-24.7911,-50.0119,55.99,88,90,5.93
48,Lebu,CL,2021-08-06 21:38:08,-37.6167,-73.65,50.23,87,100,4.41
49,Maumere,ID,2021-08-06 21:38:08,-8.6199,122.2111,76.62,80,49,5.32
50,Elizabeth City,US,2021-08-06 21:38:09,36.2946,-76.2511,84.4,74,1,9.22
51,Sinnamary,GF,2021-08-06 21:38:09,5.3833,-52.95,77.49,86,42,2.62
52,Khandyga,RU,2021-08-06 21:38:10,62.6667,135.6,67.14,47,58,2.53
53,Busselton,AU,2021-08-06 21:38:10,-33.65,115.3333,49.05,73,36,14.67
54,Kaitangata,NZ,2021-08-06 21:38:10,-46.2817,169.8464,41.94,72,94,12.15
55,Kirakira,SB,2021-08-06 21:38:11,-10.4544,161.9205,81.34,74,27,7.25
56,Ola,RU,2021-08-06 21:38:11,59.5833,151.2833,58.12,60,5,15.21
57,Valparaiso,CL,2021-08-06 21:36:48,-33.0393,-71.6273,55.63,86,90,4.61
58,Bethel,US,2021-08-06 21:38:11,41.3712,-73.414,89.35,52,1,8.05
59,Prince George,CA,2021-08-06 21:36:06,53.9166,-122.753,66.25,51,75,1.01
60,Asau,RO,2021-08-06 21:38:12,46.4333,26.4,63.52,68,18,6.26
61,Kapaa,US,2021-08-06 21:38:12,22.0752,-159.319,84.52,79,75,1.99
62,Adre,TD,2021-08-06 21:38:12,13.4667,22.2,70.23,86,100,7.7
63,Hauge,NO,2021-08-06 21:38:13,58.3436,6.2812,66.96,68,94,22.91
64,Puerto Ayora,EC,2021-08-06 21:38:11,-0.7393,-90.3518,75.16,85,77,11.99
65,Arroyo,ES,2021-08-06 21:38:14,41.6096,-4.7969,72.59,38,0,14.97
66,Vaini,TO,2021-08-06 21:38:14,-21.2,-175.2,75.36,83,20,12.66
67,Qaanaaq,GL,2021-08-06 21:38:14,77.484,-69.3632,45.25,58,0,2.26
68,Talnakh,RU,2021-08-06 21:38:14,69.4865,88.3972,64.9,45,17,1.34
69,Ankazoabo,MG,2021-08-06 21:38:15,-22.2833,44.5167,61.2,65,0,5.57
70,Buala,SB,2021-08-06 21:38:15,-8.145,159.5921,81.37,71,33,10.0
71,Nhulunbuy,AU,2021-08-06 21:38:16,-12.2333,136.7667,74.01,78,75,12.66
72,Atar,MR,2021-08-06 21:38:16,20.5169,-13.0499,93.94,27,12,8.43
73,Tasiilaq,GL,2021-08-06 21:38:16,65.6145,-37.6368,44.76,87,100,2.77
74,Vila Franca Do Campo,PT,2021-08-06 21:38:17,37.7167,-25.4333,72.01,73,41,12.55
75,Pisco,PE,2021-08-06 21:38:17,-13.7,-76.2167,66.25,68,0,13.8
76,Punta Arenas,CL,2021-08-06 21:38:17,-53.15,-70.9167,35.71,69,40,28.77
77,Severo-Kurilsk,RU,2021-08-06 21:38:18,50.6789,156.125,55.09,77,100,6.69
78,Kadhan,PK,2021-08-06 21:38:18,24.481,68.9859,82.54,72,100,12.62
79,Bathsheba,BB,2021-08-06 21:38:18,13.2167,-59.5167,84.81,70,40,14.97
80,Saldanha,ZA,2021-08-06 21:38:19,-33.0117,17.9442,51.85,81,1,3.51
81,Udachnyy,RU,2021-08-06 21:38:19,66.4167,112.4,53.6,59,96,15.66
82,Warri,NG,2021-08-06 21:38:19,5.5167,5.75,75.16,91,100,3.94
83,Sao Joao Da Barra,BR,2021-08-06 21:38:19,-21.6403,-41.0511,68.09,70,100,8.81
84,Bonavista,CA,2021-08-06 21:38:20,48.6499,-53.1147,77.0,81,8,20.8
85,Hermanus,ZA,2021-08-06 21:38:21,-34.4187,19.2345,54.9,87,0,6.22
86,Hasaki,JP,2021-08-06 21:36:01,35.7333,140.8333,79.29,87,50,7.72
87,Cape Town,ZA,2021-08-06 21:35:30,-33.9258,18.4232,55.11,89,90,3.44
88,Mahebourg,MU,2021-08-06 21:38:21,-20.4081,57.7,70.09,68,75,14.97
89,La Ronge,CA,2021-08-06 21:38:21,55.1001,-105.2842,73.62,64,40,11.5
90,Salinas,US,2021-08-06 21:33:27,36.6777,-121.6555,97.02,56,1,6.91
91,Huilong,CN,2021-08-06 21:38:22,31.8111,121.655,83.03,82,11,8.55
92,Inirida,CO,2021-08-06 21:38:22,3.8653,-67.9239,76.62,93,69,2.68
93,Bredasdorp,ZA,2021-08-06 21:34:13,-34.5322,20.0403,54.72,94,0,2.3
94,Alofi,NU,2021-08-06 21:38:23,-19.0595,-169.9187,78.69,69,14,4.61
95,Atuona,PF,2021-08-06 21:38:23,-9.8,-139.0333,78.26,77,17,18.12
96,Touros,BR,2021-08-06 21:38:23,-5.1989,-35.4608,79.7,64,100,17.94
97,Bac Lieu,VN,2021-08-06 21:38:24,9.285,105.7244,79.39,86,76,8.59
98,Acapulco,MX,2021-08-06 21:38:24,16.8634,-99.8901,85.82,70,90,4.61
99,Cockburn Town,TC,2021-08-06 21:38:25,21.4612,-71.1419,85.96,66,40,9.22
